"","Palabra","Puntuacion","Word"
"1","a bordo",1,"aboard"
"2","abandona",-2,"abandons"
"3","abandonado",-2,"abandoned"
"4","abandonar",-2,"abandon"
"5","abatido",-2,"dejected"
"6","abatido",-3,"despondent"
"7","aborrece",-3,"abhors"
"8","aborrecer",-3,"abhor"
"9","aborrecible",-3,"abhorrent"
"10","aborrecido",-3,"abhorred"
"11","adoptar",1,"embrace"
"12","abrazo",2,"hug"
"13","abrazos",2,"hugs"
"14","abriga",2,"cherishes"
"15","absolver",2,"absolve"
"16","absolver",2,"acquit"
"17","absolviendo",2,"absolving"
"18","absolviendo",2,"acquitting"
"19","absorbido",1,"absorbed"
"20","absorto",1,"engrossed"
"21","absueltos",2,"absolved"
"22","absuelve",2,"absolves"
"23","absuelve",2,"acquits"
"24","aburrido",-2,"bored"
"25","aburrido",-3,"boring"
"26","aburrido",-2,"dull"
"27","aburrir",-2,"bore"
"28","abusado",-3,"abused"
"29","abusivo",-3,"abusive"
"30","abuso",-3,"abuse"
"31","abusos",-3,"abuses"
"32","acaparador",-2,"profiteer"
"33","acaparamiento",-2,"monopolizing"
"34","accidental",-2,"accidental"
"35","accidentalmente",-2,"accidentally"
"36","accidente",-2,"accident"
"37","accidentes",-2,"accidents"
"38","acepta",1,"accepts"
"39","aceptado",1,"accepted"
"40","aceptado",-1,"admitted"
"41","aceptar",1,"accept"
"42","aceptar",1,"accepting"
"43","aclamaciones",2,"cheers"
"44","aclara",2,"clarifies"
"45","acosado",-2,"bullied"
"46","acosado",-2,"harried"
"47","acoso",-2,"bullying"
"48","activo",1,"active"
"49","activo",2,"asset"
"50","acuchillado",-2,"stabbed"
"51","acuerdo",1,"agreement"
"52","acusa",-2,"accuses"
"53","acusacion",-2,"accusation"
"54","acusaciones",-2,"accusations"
"55","acusado",-2,"accused"
"56","acusando",-2,"accusing"
"57","acusar",-2,"accuse"
"58","adecuado",1,"adequate"
"59","admira",3,"admires"
"60","admirar",3,"admire"
"61","admirativo",3,"admiring"
"62","admite",-1,"admits"
"63","admitir",-1,"admit"
"64","adoctrina",-2,"indoctrinates"
"65","adoctrinados",-2,"indoctrinated"
"66","adoctrinar",-2,"indoctrinate"
"67","adoctrinar",-2,"indoctrinating"
"68","adopta",1,"adopts"
"69","adoptar",1,"adopt"
"70","adora",3,"adores"
"71","adorable",3,"adorable"
"72","adorado",3,"adored"
"73","adorado",3,"worshiped"
"74","adorar",3,"adore"
"75","advertencia",-3,"warning"
"76","advertencias",-3,"warnings"
"77","advertir",-2,"warn"
"78","advierte",-2,"warns"
"79","afable",2,"suave"
"80","afectado",-1,"affected"
"81","afecto",3,"affection"
"82","aficionado",2,"fond"
"83","afilado",1,"keen"
"84","afirmativamente",2,"positively"
"85","afligido",-1,"afflicted"
"86","afligido",-2,"bereaved"
"87","afligido",-2,"distressed"
"88","afligido",-2,"stricken"
"89","afortunado",2,"fortunate"
"90","afrentado",-1,"affronted"
"91","agobiados",-2,"burdened"
"92","agoniza",-3,"agonises"
"93","agoniza",-3,"agonizes"
"94","agonizado",-3,"agonised"
"95","agonizado",-3,"agonized"
"96","agonizante",-3,"agonising"
"97","agonizante",-3,"agonizing"
"98","agonizar",-3,"agonise"
"99","agonizar",-3,"agonize"
"100","agotado",-2,"drained"
"101","agotado",-2,"exhausted"
"102","agradable",2,"agreeable"
"103","agradable",3,"pleasant"
"104","agradecido",3,"grateful"
"105","agradecido",2,"thankful"
"106","agrava",-2,"aggravates"
"107","agravado",-2,"aggravated"
"108","agravante",-2,"aggravating"
"109","agravar",-2,"aggravate"
"110","agresion",-2,"aggression"
"111","agresiones",-2,"aggressions"
"112","agresivo",-2,"aggressive"
